characters_archaeologe;Archaeologe
spokentexts_schriftstellerin_top_a10_schriftstellerin_mordermittlungen_tseq_st_8;Mais c'était un risque. Son plan était trop complexe. Et salement exécuté.
spokentexts_schriftstellerin_top_a10_schriftstellerin_mordermittlungen_tseq_st_9;Vous avez la critique facile, Mr Zellner !
spokentexts_schriftstellerin_top_a10_schriftstellerin_mordermittlungen_tseq_st_10;Il aurait pu l'abattre sur le pont-promenade et jeter l'arme par dessus bord. Sans témoin, personne ne l'aurait soupçonné.
spokentexts_schriftstellerin_top_a10_schriftstellerin_mordermittlungen_tseq_st_11;C'est d'un ennui !
spokentexts_schriftstellerin_top_a10_schriftstellerin_mordermittlungen_tseq_st_12;Ou, si le plan se devait d'être compliqué, il aurait dû l'exécuter avec plus de soin. Aurait dû penser à tout et avoir un plan B de prêt.
spokentexts_schriftstellerin_top_a10_schriftstellerin_mordermittlungen_tseq_st_13;Peut être a-t-il manqué de temps ? Il n'a eu que quelques heures pour préparer et commettre le meurtre.
spokentexts_schriftstellerin_top_a10_schriftstellerin_mordermittlungen_tseq_st_14_direction;not convinced
spokentexts_schriftstellerin_top_a10_schriftstellerin_mordermittlungen_tseq_st_14;Tout de même, il aurait dû mieux couvrir ses traces. La bande audio ? Le gant ensanglanté ? Rien de tout cela n'aurait dû rester dans l'infirmerie.
texts_schriftstellerin_top_a10_schriftstellerin_verabschieden_erstmalig_tseq_title;Dire au revoir
spokentexts_schriftstellerin_top_a10_schriftstellerin_verabschieden_erstmalig_tseq_st_1;Comme toujours, ce fut une conversation passionnante et révélatrice, Lady Westmacott.
spokentexts_schriftstellerin_top_a10_schriftstellerin_verabschieden_erstmalig_tseq_st_2;Ces petites discussions vont me manquer, Officier Zellner !
spokentexts_schriftstellerin_top_a10_schriftstellerin_verabschieden_erstmalig_tseq_st_3;Au revoir.
texts_schriftstellerin_top_a10_schriftstellerin_verabschieden_tseq_title;Dire au revoir
spokentexts_schriftstellerin_top_a10_schriftstellerin_verabschieden_tseq_st_1;Ah ! Une idée m'a traversé l'esprit.
spokentexts_schriftstellerin_top_a10_schriftstellerin_verabschieden_tseq_st_2;Excusez moi s'il vous plait.
spokentexts_schriftstellerin_top_a10_schriftstellerin_verabschieden_tseq_st_3;Bien sûr, Officier.
sequences_schriftstellerin_top_a10_schriftstellerin_verabschieden_tseq#4;[The dialogue is over.]
spokentexts_schriftstellerin_top_a10_schriftstellerin_verabschieden_tseq_st_4;Au revoir, Lady Westmacott.
spokentexts_schriftstellerin_top_a10_schriftstellerin_verabschieden_tseq_st_5;Au revoir, Officier Zellner.
sequences_schriftstellerin_top_a10_schriftstellerin_verabschieden_tseq#8;[The dialogue is over.]
spokentexts_schriftstellerin_ex_1_st_1;Lady Westmacott est une experte sur l'Égypte. Beaucoup de ses nouvelles s'y déroulent.
sequences_schriftstellerin_talk_mit_1#1;[The lady looks at some exhibits and stands with her back to the hall.]
sequences_schriftstellerin_talk_mit_1#2;[Ohi takes his place beside her, with his hands behind his back and looking at the same exhibits.]
spokentexts_schriftstellerin_talk_mit_1_st_1;Impressionnant, n'est-ce pas ? Plusieurs milliers d'années et toujours aussi magnifique.
spokentexts_schriftstellerin_talk_mit_1_st_2;En effet.
spokentexts_schriftstellerin_talk_mit_1_st_3;Ils l'ont mis à jour près de Thèbes il y a cinquante ans. J'y étais.
spokentexts_schriftstellerin_talk_mit_1_st_4;Vraiment ?
spokentexts_schriftstellerin_talk_mit_1_st_5;"C'est là que j'ai rencontré mon mari. Il était assistant sur les fouilles et devait, sur ordre du directeur, s'occuper de ""cet écrivain""."
spokentexts_schriftstellerin_talk_mit_1_st_6;J'ai financé de nombreuses fouilles les années suivantes, ici en Égypte et au Proche-Orient.
spokentexts_schriftstellerin_talk_mit_1_st_7_direction;reminiscing
spokentexts_schriftstellerin_talk_mit_1_st_7;Je rendais visite à mon mari avec notre fils. C'était la plus belle époque de ma vie.
sequences_schriftstellerin_talk_mit_1#10;[The writer turns with her wheelchair to Ohi.]
spokentexts_schriftstellerin_talk_mit_1_st_8_direction;joking
spokentexts_schriftstellerin_talk_mit_1_st_8;Mais un musée n'est pas un endroit pour la nostalgie !
spokentexts_schriftstellerin_talk_mit_1_st_9;Que puis-je pour vous ?
spokentexts_schriftstellerin_talk_mit_2_st_1;Lady Westmacott ?
sequences_schriftstellerin_talk_mit_2#2;[The writer turns with her wheelchair to Ohi.]
spokentexts_schriftstellerin_talk_mit_2_st_2;Oui ?
spokentexts_schriftstellerin_talk_mit_3_st_1;Elle revit ses souvenirs. Mieux vaut ne pas la déranger.
texts_wache_mo_ex_1;Ausculter le garde
texts_wache_mo_ex_1__2;Regarder le garde
texts_wache_mo_ex_2__3;Fouiller le garde
texts_wache_mo_ex_4;Regarder le garde
sequences_wache_ex_1#1;[Ohi kneels down next to the guard, lays his hand on his carotid artery and examines him.]
spokentexts_wache_ex_1_st_1;Il respire.
sequences_wache_ex_1#3;[Ohi looks at the back of the guard's head, touches it with his hand.]
spokentexts_wache_ex_1_st_2;Hmm. Pas de bosse.
spokentexts_wache_ex_1_st_3;Il n'a pas l'air d'avoir été assommé.
spokentexts_wache_ex_1_st_4;Mais il est tout de même inconscient.
spokentexts_wache_ex_1_st_5;Merci, Watson.
sequences_wache_ex_1#8;[Ohi stays crouched down. As soon as you click anywhere but the guard, Ohi stands up.]
sequences_wache_ex_2#3;[Ohi kneels down next to the guard's room guard.]
sequences_wache_ex_2#4;[Ohi sifts through the guard's pocket.]
spokentexts_wache_ex_2_st_1;Que faites-vous ?
sequences_wache_ex_2#6;[Ohi doesn't let himself be disturbed. He keeps on searching and finally finds what he was searching for. He shows the guard a key ring with two keys. He pockets it and gets up.]
spokentexts_wache_ex_2_st_2;Je cherchais ceci.
spokentexts_wache_ex_2_st_3;Hmpf. Comme je le soupçonnais.
spokentexts_wache_ex_2_st_4;Si seulement j'y avais pensé plus tôt.
sequences_wache_ex_2#12;[Ohi gets up.]
sequences_wache_ex_3#3;[Ohi kneels down next to the guard's room guard.]
sequences_wache_ex_3#4;[Ohi starts to sift through the guard's pocket.]
sequences_wache_ex_3#5;[He keeps on searching and finally finds what he was searching for. He shows the guard a key ring with two keys. He looks at it and pockets it.]
spokentexts_wache_ex_3_st_1;Je cherchais ceci.
sequences_wache_ex_3#11;[Ohi stands up.]
spokentexts_wache_ex_4_st_1;Il a l'air d'aller. Après avoir vérifié la salle au trésor, nous devrions appeler une ambulance.
spokentexts_wache_ex_5_st_1;Des gardes bien entrainés sont bien souvent le meilleur système de sécurité... Bien qu'ils ne soient pas parvenus à arrêter le Corbeau à Londres.
spokentexts_wache_ex_6_st_1;Je doute de pouvoir lui parler. Il a pour ordre de ne laisser entrer personne dans la salle au trésor... Et c'est exactement ce qu'il va faire.
spokentexts_wache_ex_7_st_1;Le gala croulera sous les gardes ce soir. La police locale enverra peut être aussi des renforts.
texts_wachmann_mo_ex;Regarder l'Officier Oliver
texts_wachmann_mo_ex_1__2;Regarder l'Officier Oliver
texts_wachmann_mo_talk_mit_1-2;Parler à l'Officier Oliver
texts_wachmann_top_a10_wachmann_ermittler_tseq_title;Legrand
spokentexts_wachmann_top_a10_wachmann_ermittler_tseq_st_1;Pourquoi n'êtes-vous pas à l'ambassade à répondre aux journalistes avec l'Inspecteur Legrand ?
spokentexts_wachmann_top_a10_wachmann_ermittler_tseq_st_2;Qu'est-ce que vous racontez ? Legrand a refusé de le faire.
spokentexts_wachmann_top_a10_wachmann_ermittler_tseq_st_3;Quoi ?
spokentexts_wachmann_top_a10_wachmann_ermittler_tseq_st_4;Il a dit à l'ambassadeur qu'il préférait encore traverser le désert pendant quarante ans plutôt que donner des interviews pendant quarante minutes.
texts_wachmann_top_a10_wachmann_schatzkammer_tseq_title;Salle au trésor
spokentexts_wachmann_top_a10_wachmann_schatzkammer_tseq_st_1;Nous devons ouvrir la porte de la salle au trésor. Je pense qu'il y a une entrée secrète.
spokentexts_wachmann_top_a10_wachmann_schatzkammer_tseq_st_2;Non. Nous devrions plutôt ouvrir l'entrée principale et appeler à l'aide !
spokentexts_wachmann_top_a10_wachmann_schatzkammer_tseq_st_3;Robert, réfléchissez ! Le Corbeau est à l'intérieur du musée, tout comme nous. Nous pourrions l'attraper. Mais nous devons le faire immédiatement !
spokentexts_wachmann_top_a10_wachmann_schatzkammer_tseq_st_4;Nous pouvons mettre un terme à tout cette affaire ici et maintenant, vous et moi.
spokentexts_wachmann_top_a10_wachmann_schatzkammer_tseq_st_5;Vous... Vous voulez juste me dérouter.
spokentexts_wachmann_top_a10_wachmann_schatzkammer_tseq_st_6;Robert, je ne pense pas une seule seconde que vous ayez assommé cet homme.
spokentexts_wachmann_top_a10_wachmann_schatzkammer_tseq_st_7;Mais moi non plus ! J'étais avec le directeur pendant tout ce temps. Demandez lui.
spokentexts_wachmann_top_a10_wachmann_schatzkammer_tseq_st_8;Ça ne veut pas dire que vous n'êtes pas impliqué d'une façon ou d'une autre. Vous pourriez travailler avec le Corbeau !
spokentexts_wachmann_top_a10_wachmann_schatzkammer_tseq_st_9;Vous aussi.
spokentexts_wachmann_top_a10_wachmann_schatzkammer_tseq_st_10;Nous pouvons nous soupçonner, ouvrir tous les accès et offrir au Corbeau une porte de sortie.
spokentexts_wachmann_top_a10_wachmann_schatzkammer_tseq_st_11;Ou nous pouvons le traîner devant la justice, ici et maintenant !
sequences_wachmann_top_a10_wachmann_schatzkammer_tseq#11;[The guardsman battles with himself, finally lowers his gun.]
spokentexts_wachmann_top_a10_wachmann_schatzkammer_tseq_st_12;OK.
sequences_wachmann_top_a10_wachmann_schatzkammer_tseq#13;[The guardsman pulls the gun again for a short moment to firm his statement.]
spokentexts_wachmann_top_a10_wachmann_schatzkammer_tseq_st_13;Mais soyons clairs : je ne vous fais pas confiance !
spokentexts_wachmann_top_a10_wachmann_schatzkammer_tseq_st_14;Je vous ai à l'oeil, et si vous essayez de filer...
spokentexts_wachmann_top_a10_wachmann_schatzkammer_tseq_st_15;Compris.
texts_wachmann_top_a10_wachmann_verabschieden_tseq_title;Terminer la conversation
spokentexts_wachmann_top_a10_wachmann_verabschieden_tseq_st_1;Je vais essayer d'ouvrir la porte de la salle au trésor maintenant.
spokentexts_wachmann_top_a10_wachmann_verabschieden_tseq_st_2;Je vous serais reconnaissant si vous évitiez de me tirer dessus par accident !
spokentexts_wachmann_top_a10_wachmann_verabschieden_tseq_st_3;Pas de blagues, Zellner.
spokentexts_wachmann_top_a10_wachmann_verabschieden_tseq_st_4;Et si on ne trouve rien dans la salle au trésor, nous ouvrirons la porte à l'entrée principale et nous appellerons l'Inspecteur Legrand.
sequences_wachmann_top_a10_wachmann_verabschieden_tseq#4;[The guardsman passes Ohi, puts the gun away and takes up position next to the gate so he has a good overview about what happens. While Ohi crosses his path, he looks at him as if he doesn't trust him.]
spokentexts_wachmann_top_a10_wachmann_verabschieden_tseq_st_5;Bien sûr.
texts_wachmann_top_a10_wachmann_wache_tseq_title;Garde
spokentexts_wachmann_top_a10_wachmann_wache_tseq_st_1;Est... Est-il mort ?
spokentexts_wachmann_top_a10_wachmann_wache_tseq_st_2_direction;Threatening in the end
spokentexts_wachmann_top_a10_wachmann_wache_tseq_st_2;Seulement inconscient. Peut être pourra-t-il nous dire qui l'a assommé.
spokentexts_wachmann_top_a10_wachmann_wache_tseq_st_3_direction;decidedly content, challenging
spokentexts_wachmann_top_a10_wachmann_wache_tseq_st_3;Excellent.
spokentexts_wachmann_top_a10_wachmann_wache_tseq_st_4;Ne faîtes pas l'innocent ! C'était VOUS !
spokentexts_wachmann_top_a10_wachmann_wache_tseq_st_5;J'étais dans la salle au trésor avec le directeur. Par contre, VOUS aviez l'opportunité parfaite pour vous débarrasser de lui.
spokentexts_wachmann_top_a10_wachmann_wache_tseq_st_6_direction;verärgert
spokentexts_wachmann_top_a10_wachmann_wache_tseq_st_6;Je l'ai trouvé inconscient ! Je voulais ouvrir les portes.
spokentexts_wachmann_top_a10_wachmann_wache_tseq_st_7;Et faciliter la fuite du Corbeau ?
spokentexts_wachmann_top_a10_wachmann_wache_tseq_st_8;Ras le bol ! Par terre ! Les mains derrière la tête !
texts_wachmann_top_a10_wachmann_waffe_tseq_title;Arme
spokentexts_wachmann_top_a10_wachmann_waffe_tseq_st_1;Baissez votre arme !
spokentexts_wachmann_top_a10_wachmann_waffe_tseq_st_2;Oh ça vous plairait !
spokentexts_wachmann_top_a10_wachmann_waffe_tseq_st_3;Robert, réfléchissez !
spokentexts_wachmann_top_a10_wachmann_waffe_tseq_st_4;Fermez la !
texts_wachmann_top_a10_wachmann_was_tut_er_hier_tseq_title;Que fait-il ici ?
spokentexts_wachmann_top_a10_wachmann_was_tut_er_hier_tseq_st_1_direction;Surprised, confused
spokentexts_wachmann_top_a10_wachmann_was_tut_er_hier_tseq_st_1;Qu'avez-vous fait ?
sequences_wachmann_top_a10_wachmann_was_tut_er_hier_tseq#1;[The guardsman looks at the guard and, then Ohi again.]
spokentexts_wachmann_top_a10_wachmann_was_tut_er_hier_tseq_st_2_direction;Stunned
spokentexts_wachmann_top_a10_wachmann_was_tut_er_hier_tseq_st_2;MOI ?!
spokentexts_wachmann_top_a10_wachmann_was_tut_er_hier_tseq_st_3_direction;feisty
spokentexts_wachmann_top_a10_wachmann_was_tut_er_hier_tseq_st_3;Je n'ai rien fait. Mais vous allez voir ce que je vais faire. Je vais VOUS arrêter !
spokentexts_wachmann_ex_1_st_1;L'Officier Oliver ne peut pas sérieusement croire que je suis le Corbeau !
spokentexts_wachmann_ex_1_st_2;Il doit bien réaliser que je n'ai eu aucune occasion de poser la bombe !
spokentexts_wachmann_ex_1_st_3;Mais il pense peut être que je suis un complice, tout comme lui pourrait l'être.
spokentexts_wachmann_ex_2_st_1;Je vais sourire et prendre sur moi. Tant qu'il est dans le coin, il ne peut pas aggraver les choses.
spokentexts_wachmann_ex_2_st_2;Et si je dois me débarrasser de lui, je trouverai bien un moyen.
spokentexts_wachmann_ex_3_st_1;L'heure tourne. Tôt ou tard, l'officier va perdre patience et moi ma chance d'accéder seul à la salle au trésor.
spokentexts_wachmann_talk_mit_1_st_1;J'ai regardé les enregistrements vidéos.
sequences_wachmann_talk_mit_1#2;[The director gets keen-eared, looks up.]
spokentexts_wachmann_talk_mit_1_st_2;Oui ? Alors ?
spokentexts_wachmann_talk_mit_1_st_3_direction;weak, full of hope
spokentexts_wachmann_talk_mit_1_st_3;Alors ? Les trésors ?
spokentexts_wachmann_talk_mit_1_st_4;Peu après que nous ayons quitté la pièce, les enregistrements se sont arrêtés.
sequences_wachmann_talk_mit_1#6;[The director falls back again.]
spokentexts_wachmann_talk_mit_1_st_5_direction;mocking
spokentexts_wachmann_talk_mit_1_st_5;Bah !
spokentexts_wachmann_talk_mit_1_st_6;Ils ne servent à rien.
spokentexts_wachmann_talk_mit_1_st_7;Pas du tout. Les enregistrements vidéos sont très intéressants.
spokentexts_wachmann_talk_mit_1_st_12_direction;Thoughtfully, 'there is some truth to this'
spokentexts_wachmann_talk_mit_1_st_12;Hmm.
spokentexts_wachmann_talk_mit_2_st_1;Avez-vous une idée de comment nous pouvons ouvrir la porte ?
spokentexts_wachmann_talk_mit_2_st_2;Nous devons ouvrir la porte principale et appeler des renforts !
spokentexts_wachmann_talk_mit_2_st_3;Non ! Vous m'avez donné cinq minutes et mon temps n'est pas encore écoulé !
sequences_wachmann_talk_mit_2#4;[The guardsman makes a dismissive gesture.]
texts_text_sc_zurschatzkammer;Aller vers l'arrière
texts_text_sc_default_mo;Aller dans le vestibule
